configuration_group,configuration_name,configuration_value,configuration_label,category,n_observations,n_prompts,n_workers,ttft_s_mean,ttft_s_std,ttft_s_mean_pm_std,tpot_s_mean,tpot_s_std,tpot_s_mean_pm_std,prompt_tps_mean,prompt_tps_std,prompt_tps_mean_pm_std,generation_tps_mean,generation_tps_std,generation_tps_mean_pm_std,peak_rss_mb_mean,peak_rss_mb_std,peak_rss_mb_mean_pm_std
concurrency,concurrency,2,concurrency=2,short,20,10,2,5.958996395750001,1.260902012217205,5.958996 +/- 1.260902,0.18252263082976433,0.00846219023625108,0.182523 +/- 0.008462,24.835,8.372151518733496,24.835000 +/- 8.372152,5.49,0.25526044491233285,5.490000 +/- 0.255260,3337.5484375,110.07635980033817,3337.548438 +/- 110.076360
concurrency,concurrency,2,concurrency=2,medium,20,10,2,8.557965886800229,1.5673028902046555,8.557966 +/- 1.567303,0.18110023681440063,0.010676971388296748,0.181100 +/- 0.010677,18.41,8.755142849536464,18.410000 +/- 8.755143,5.54,0.32509108035489964,5.540000 +/- 0.325091,3622.8912109375,110.10602672014056,3622.891211 +/- 110.106027
concurrency,concurrency,2,concurrency=2,long,22,11,2,10.186809481181792,1.630581487383779,10.186809 +/- 1.630581,0.18661556972040352,0.012537280243411653,0.186616 +/- 0.012537,23.677272727272733,4.148428482505016,23.677273 +/- 4.148428,5.381818181818181,0.3620528291316768,5.381818 +/- 0.362053,3673.9359019886365,6.396844692242852,3673.935902 +/- 6.396845
concurrency,concurrency,2,concurrency=2,overall,62,31,2,8.29756539091942,2.2974407235062593,8.297565 +/- 2.297441,0.18351612720535762,0.010845553413247732,0.183516 +/- 0.010846,22.351612903225806,7.705964092947618,22.351613 +/- 7.705964,5.467741935483873,0.32074411104486866,5.467742 +/- 0.320744,3548.9577872983873,172.172851560949,3548.957787 +/- 172.172852
concurrency,concurrency,4,concurrency=4,short,40,10,4,17.61301381427529,4.1030890474847945,17.613014 +/- 4.103089,1.4777777777777779,0.20378323825642497,1.477778 +/- 0.203783,5.6,5.2371943947313175,5.600000 +/- 5.237194,0.6900000000000001,0.1007662947311558,0.690000 +/- 0.100766,3337.9923828125,108.15142405104298,3337.992383 +/- 108.151424
concurrency,concurrency,4,concurrency=4,medium,40,10,4,22.76964976345016,4.638797792326223,22.769650 +/- 4.638798,1.3138979076479078,0.24493222975730639,1.313898 +/- 0.244932,5.475,2.105639558119563,5.475000 +/- 2.105640,0.7875000000000001,0.14708710135363803,0.787500 +/- 0.147087,3626.121484375,109.76063279165061,3626.121484 +/- 109.760633
concurrency,concurrency,4,concurrency=4,long,44,11,4,24.8387747189544,4.569699400450309,24.838775 +/- 4.569699,1.5932108587414893,0.31627341110305196,1.593211 +/- 0.316273,8.450000000000001,2.985507630865057,8.450000 +/- 2.985508,0.8431818181818184,1.1171803642086453,0.843182 +/- 1.117180,3678.0363991477275,8.182884808642308,3678.036399 +/- 8.182885
concurrency,concurrency,4,concurrency=4,overall,124,31,4,21.8404244414759,5.363739420738388,21.840424 +/- 5.363739,1.4658734290455877,0.2837536042231306,1.465873 +/- 0.283754,6.570967741935484,3.8960011642864907,6.570968 +/- 3.896001,0.7758064516129031,0.6711682531400595,0.775806 +/- 0.671168,3551.5980342741937,172.95983885328516,3551.598034 +/- 172.959839
concurrency,concurrency,16,concurrency=16,short,16,1,16,201.44699891124992,19.224167108546542,201.446999 +/- 19.224167,,,,0.15625000000000003,0.051234753829797995,0.156250 +/- 0.051235,0.0,0.0,0.000000 +/- 0.000000,3300.910888671875,1.9012224614817714,3300.910889 +/- 1.901222
concurrency,concurrency,16,concurrency=16,overall,16,1,16,201.44699891124992,19.224167108546542,201.446999 +/- 19.224167,,,,0.15625000000000003,0.051234753829797995,0.156250 +/- 0.051235,0.0,0.0,0.000000 +/- 0.000000,3300.910888671875,1.9012224614817714,3300.910889 +/- 1.901222
context_length,target_context_tokens_approx,32,target_context_tokens_approx=32,short,3,1,0,3.7075393783331188,0.6704323099948346,3.707539 +/- 0.670432,0.04918059177694065,0.00013941617627489608,0.049181 +/- 0.000139,43.4,1.8248287590894674,43.400000 +/- 1.824829,20.333333333333332,0.057735026918961346,20.333333 +/- 0.057735,3005.51171875,1.0994480482233744,3005.511719 +/- 1.099448
context_length,target_context_tokens_approx,32,target_context_tokens_approx=32,overall,3,1,0,3.7075393783331188,0.6704323099948346,3.707539 +/- 0.670432,0.04918059177694065,0.00013941617627489608,0.049181 +/- 0.000139,43.4,1.8248287590894674,43.400000 +/- 1.824829,20.333333333333332,0.057735026918961346,20.333333 +/- 0.057735,3005.51171875,1.0994480482233744,3005.511719 +/- 1.099448
context_length,target_context_tokens_approx,128,target_context_tokens_approx=128,short,3,1,0,3.7068676613343996,0.0385138707081778,3.706868 +/- 0.038514,0.04991708126036484,0.00014361946994767224,0.049917 +/- 0.000144,80.86666666666667,1.850225211517057,80.866667 +/- 1.850225,20.033333333333335,0.0577350269189634,20.033333 +/- 0.057735,3060.4049479166665,11.021442206617158,3060.404948 +/- 11.021442
context_length,target_context_tokens_approx,128,target_context_tokens_approx=128,overall,3,1,0,3.7068676613343996,0.0385138707081778,3.706868 +/- 0.038514,0.04991708126036484,0.00014361946994767224,0.049917 +/- 0.000144,80.86666666666667,1.850225211517057,80.866667 +/- 1.850225,20.033333333333335,0.0577350269189634,20.033333 +/- 0.057735,3060.4049479166665,11.021442206617158,3060.404948 +/- 11.021442
context_length,target_context_tokens_approx,512,target_context_tokens_approx=512,medium,3,1,0,5.117054781667927,0.034972480374311526,5.117055 +/- 0.034972,0.05084775026761973,0.00014952612379302133,0.050848 +/- 0.000150,153.66666666666666,1.7243356208503304,153.666667 +/- 1.724336,19.666666666666668,0.057735026918961346,19.666667 +/- 0.057735,3141.5052083333335,0.9700197491814707,3141.505208 +/- 0.970020
context_length,target_context_tokens_approx,512,target_context_tokens_approx=512,overall,3,1,0,5.117054781667927,0.034972480374311526,5.117055 +/- 0.034972,0.05084775026761973,0.00014952612379302133,0.050848 +/- 0.000150,153.66666666666666,1.7243356208503304,153.666667 +/- 1.724336,19.666666666666668,0.057735026918961346,19.666667 +/- 0.057735,3141.5052083333335,0.9700197491814707,3141.505208 +/- 0.970020
context_length,target_context_tokens_approx,2048,target_context_tokens_approx=2048,long,3,1,0,15.33234501133605,0.03810441435485058,15.332345 +/- 0.038104,0.055659010966273535,0.0001791900276814519,0.055659 +/- 0.000179,141.63333333333333,0.4618802153517072,141.633333 +/- 0.461880,17.966666666666665,0.0577350269189634,17.966667 +/- 0.057735,3451.6497395833335,1.2432700504292182,3451.649740 +/- 1.243270
context_length,target_context_tokens_approx,2048,target_context_tokens_approx=2048,overall,3,1,0,15.33234501133605,0.03810441435485058,15.332345 +/- 0.038104,0.055659010966273535,0.0001791900276814519,0.055659 +/- 0.000179,141.63333333333333,0.4618802153517072,141.633333 +/- 0.461880,17.966666666666665,0.0577350269189634,17.966667 +/- 0.057735,3451.6497395833335,1.2432700504292182,3451.649740 +/- 1.243270
decode_length,n_predict,32,n_predict=32,short,30,10,0,2.3096716977663165,0.3662760327881519,2.309672 +/- 0.366276,0.04755030000748982,0.0005672265506457726,0.047550 +/- 0.000567,156.06666666666666,43.2824431502829,156.066667 +/- 43.282443,21.033333333333328,0.25775333481682744,21.033333 +/- 0.257753,3340.180078125,107.44948725914774,3340.180078 +/- 107.449487
decode_length,n_predict,32,n_predict=32,medium,30,10,0,3.335569754666358,0.3956266215756375,3.335570 +/- 0.395627,0.04811703473426343,0.0002777258299715628,0.048117 +/- 0.000278,57.24666666666667,39.53913585762612,57.246667 +/- 39.539136,20.783333333333335,0.12058287558794369,20.783333 +/- 0.120583,3626.6135416666666,110.19171929654873,3626.613542 +/- 110.191719
decode_length,n_predict,32,n_predict=32,long,33,11,0,3.8631248709694552,0.7107782813956371,3.863125 +/- 0.710778,0.04884731645470073,0.00030411389592198797,0.048847 +/- 0.000304,71.26666666666667,10.894656564879256,71.266667 +/- 10.894657,20.472727272727273,0.12814232144555018,20.472727 +/- 0.128142,3679.889441287879,6.394161037746325,3679.889441 +/- 6.394161
decode_length,n_predict,32,n_predict=32,overall,93,31,0,3.1918318743545404,0.8303561883282198,3.191832 +/- 0.830356,0.04819334930384646,0.0006693627577685584,0.048193 +/- 0.000669,94.0989247311828,54.832637644063254,94.098925 +/- 54.832638,20.753763440860215,0.2921282996073988,20.753763 +/- 0.292128,3553.1200016801076,172.60524459459603,3553.120002 +/- 172.605245
decode_length,n_predict,128,n_predict=128,short,30,10,0,2.413624662000802,0.821059107640933,2.413625 +/- 0.821059,0.04861551318287083,0.0010815023400761936,0.048616 +/- 0.001082,155.22,45.70501670193479,155.220000 +/- 45.705017,20.579999999999995,0.4852301267049164,20.580000 +/- 0.485230,3339.733854166667,108.07554265370965,3339.733854 +/- 108.075543
decode_length,n_predict,128,n_predict=128,medium,30,10,0,3.4499502082001223,0.790695991537595,3.449950 +/- 0.790696,0.04931025794812317,0.00017422314732234206,0.049310 +/- 0.000174,56.60333333333334,40.034385938481236,56.603333 +/- 40.034386,20.279999999999994,0.07143842296595046,20.280000 +/- 0.071438,3627.5118489583333,109.55027017815776,3627.511849 +/- 109.550270
decode_length,n_predict,128,n_predict=128,long,33,11,0,3.738354847302341,0.0855576079521489,3.738355 +/- 0.085558,0.04994746080773232,0.00014969694587986846,0.049947 +/- 0.000150,72.72121212121213,5.458752008000407,72.721212 +/- 5.458752,20.021212121212123,0.05998737240857405,20.021212 +/- 0.059987,3679.8141571969695,4.885459832177432,3679.814157 +/- 4.885460
decode_length,n_predict,128,n_predict=128,overall,93,31,0,3.217988774914032,0.8589367252392743,3.217989 +/- 0.858937,0.049312250974032114,0.0008301111066233949,0.049312 +/- 0.000830,94.13440860215054,54.90556219273959,94.134409 +/- 54.905562,20.284946236559136,0.361141378000584,20.284946 +/- 0.361141,3553.2391213037636,172.86771602322085,3553.239121 +/- 172.867716
decode_length,n_predict,512,n_predict=512,short,30,10,0,2.3065245858665246,0.3628560691429489,2.306525 +/- 0.362856,0.04958230479331008,0.0013195327438354403,0.049582 +/- 0.001320,155.8,43.07185656070803,155.800000 +/- 43.071857,20.183333333333334,0.5772009351519021,20.183333 +/- 0.577201,3339.200260416667,108.18555323801462,3339.200260 +/- 108.185553
decode_length,n_predict,512,n_predict=512,medium,30,10,0,3.312205043866076,0.38203162481386055,3.312205 +/- 0.382032,0.05025125628140704,0.0,0.050251 +/- 0.000000,57.800000000000004,39.15796479512886,57.800000 +/- 39.157965,19.899999999999995,3.613448226613569e-15,19.900000 +/- 0.000000,3628.320833333333,109.25757422650048,3628.320833 +/- 109.257574
